college_code,college_name,avg_percentile,avg_rank,percentile_std,rank_std,data_points,stability_score,cluster
3217,"Vighnaharata Trust's Shivajirao S. Jondhale College of Engineering & Technology, Shahapur, Asangaon, Dist Thane",68.57629524285714,91560.28571428571,19.072740114255755,41663.93104638706,7,0.049818808708124274,0
3218,"Aldel Education Trust's St. John College of Engineering & Management, Vevoor, Palghar",64.5798630517647,98149.41176470589,23.07698640583603,47003.15823945443,85,0.04153343708154479,0
3219,"Koti Vidya Charitable Trust's Smt. Alamuri Ratnamala Institute of Engineering and Technology, Sapgaon, Tal. Shahapur",46.00686430909091,137141.18181818182,26.2732156617404,44482.234585996644,11,0.03666601006652937,7
3220,Yadavrao Tasgaonkar College of Engineering & Management,63.859668766666665,106184.66666666667,14.356961901274977,31657.92049919472,3,0.06511704635517636,6
3221,"Vishnu Waman Thakur Charitable Trust's VIVA Institute of Technology, Virar",64.34405567105263,101560.73684210527,19.769282084683706,38784.47533916479,38,0.04814802918669246,0
3222,"Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege Betegaon, Boisar",45.91710327222222,132706.61111111112,31.591913043896096,56693.67940405069,18,0.030682457904608416,3
3223,"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",69.86701539873418,88149.59493670886,18.694196217221183,39749.09436011347,79,0.050776380461040126,0
3224,"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",61.48132969285714,108889.35714285714,18.965573061744223,38790.34419227218,14,0.05008621575285946,6
3257,"Vidya Prasarak Mandal's College of Engineering, Thane",65.00590530714285,98166.96428571429,21.76046984208427,47499.4327642405,28,0.04393582412569502,0
3277,Pravin Rohidas Patil College of Engineering & Technology,72.49392705,82583.0,16.659921097794225,34025.2861266441,18,0.05662539455654209,0
3351,"Bharat College of Engineering, Kanhor, Badlapur(W)",56.02700474545454,121175.30303030302,18.27774910705994,33788.89030665706,33,0.051873275995369075,6
3353,"Dilkap Research Institute Of Engineering and Management Studies, At.Mamdapur, Post- Neral, Tal- Karjat, Mumbai",56.34509512666667,122492.46666666666,13.899866145521216,27560.262793860777,15,0.06711469688609198,6
3423,"Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",70.16358180555555,87666.65555555555,18.08426253602039,39011.01319496846,90,0.052399195311454164,0
3436,"B.R. Harne College of Engineering & Technology, Karav, Tal-Ambernath.",53.3045119,125708.5,20.738389007228825,38188.88405675138,14,0.04600156891421267,6
3439,"Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",58.23877926436782,115189.9540229885,20.080856850005,39752.892955106894,87,0.04743640199804131,6
3440,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.",32.54459972,163726.2,20.0157708443446,28067.814008219448,5,0.04758331290375212,1
3445,"Vishwatmak Jangli Maharaj Ashram Trust (Kokamthan), Atma Malik Institute Of Technology & Research",52.46403408,129979.5,15.725397711357951,28582.528292841962,10,0.05978931067934582,6
3447,"G.M.Vedak Institute of Technology, Tala, Raigad.",42.38771905,149783.16666666666,12.119585197312762,20449.545466016276,6,0.07622192203186626,1
3462,"VPM's Maharshi Parshuram College of Engineering, Velneshwar, Ratnagiri.",65.9699355,101784.33333333333,11.71885659393729,28486.302960077734,3,0.07862341969298334,6
3465,"Ideal Institute of Technology, Wada, Dist.Thane",56.02702115217391,122878.39130434782,14.812601505900878,29197.75545815922,23,0.06324070075545914,6
3467,"Vishwaniketan's Institute of Management Entrepreneurship and Engineering Technology(i MEET), Khalapur Dist Raigad",54.05277797272727,121650.45454545454,25.070680199831102,48389.6570795116,11,0.03835726541597785,3
